FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
82601,82601,Sinaloa,Mexico,26/05/2020 02:32,25.1721,-107.4795,2794,406,1831,557,Sinaloa
82601,82601,Sint Maarten,Netherlands,26/05/2020 02:32,18.0425,-63.0548,77,15,59,3,Sint Maarten
82601,82601,Sonora,Mexico,26/05/2020 02:32,29.2972,-110.3309,1451,72,1019,360,Sonora
82601,82601,South Australia,Australia,26/05/2020 02:32,-34.9285,138.6007,439,4,435,0,South Australia
82601,82601,St Martin,France,26/05/2020 02:32,18.0708,-63.0501,39,3,33,3,St Martin
82601,82601,Tabasco,Mexico,26/05/2020 02:32,17.8409,-92.6189,3236,416,2214,606,Tabasco
82601,82601,Tamaulipas,Mexico,26/05/2020 02:32,24.2669,-98.8363,1289,86,905,298,Tamaulipas
82601,82601,Tarapaca,Chile,26/05/2020 02:32,-19.9232,-69.5132,1630,7,0,1623,Tarapaca
82601,82601,Tasmania,Australia,26/05/2020 02:32,-42.8821,147.3272,228,13,202,13,Tasmania
82601,82601,Thuringen,Germany,26/05/2020 02:32,51.011,10.8453,2871,152,2480,239,Thuringen
82601,82601,Tianjin,China,26/05/2020 02:32,39.3054,117.323,192,3,188,1,Tianjin
82601,82601,Tibet,China,26/05/2020 02:32,31.6927,88.0924,1,0,1,0,Tibet
82601,82601,Tlaxcala,Mexico,26/05/2020 02:32,19.3139,-98.2404,827,134,478,215,Tlaxcala
82601,82601,Tocantins,Brazil,26/05/2020 02:32,-10.1753,-48.2982,2696,58,0,2638,Tocantins
82601,82601,Toscana,Italy,26/05/2020 02:32,43.76923077,11.25588885,10067,1015,7416,1636,Toscana
82601,82601,Turks and Caicos Islands,United Kingdom,26/05/2020 02:32,21.69400000000001,-71.7979,12,1,10,1,Turks and Caicos Islands
82601,82601,Umbria,Italy,26/05/2020 02:32,43.10675841,12.38824698,1430,75,1309,46,Umbria
82601,82601,Unknown,Brazil,26/05/2020 02:32,,,0,0,153833,0,Unknown
82601,82601,Unknown,Chile,26/05/2020 02:32,,,0,0,29302,0,Unknown
82601,82601,Unknown,Germany,26/05/2020 02:32,,,1671,0,0,1671,Unknown
82601,82601,Unknown,Spain,26/05/2020 02:32,,,0,0,150376,0,Unknown
82601,82601,Valle d'Aosta,Italy,26/05/2020 02:32,45.73750286,7.320149366,1179,143,1003,33,Valle d'Aosta
82601,82601,Valparaiso,Chile,26/05/2020 02:32,-33.0472,-71.6127,2305,53,0,2252,Valparaiso
82601,82601,Veneto,Italy,26/05/2020 02:32,45.43490485,12.33845213,19097,1878,14641,2578,Veneto
82601,82601,Veracruz,Mexico,26/05/2020 02:32,19.1738,-96.1342,2944,372,1972,600,Veracruz
82601,82601,Victoria,Australia,26/05/2020 02:32,-37.8136,144.9631,1610,19,1533,58,Victoria
82601,82601,Western Australia,Australia,26/05/2020 02:32,-31.9505,115.8605,564,9,549,6,Western Australia
82601,82601,Xinjiang,China,26/05/2020 02:32,41.1129,85.2401,76,3,73,0,Xinjiang
82601,82601,Yucatan,Mexico,26/05/2020 02:32,20.7099,-89.0943,1522,123,1009,390,Yucatan
82601,82601,Yukon,Canada,26/05/2020 02:32,64.2823,-135.0,11,0,11,0,Yukon
82601,82601,Yunnan,China,26/05/2020 02:32,24.974,101.487,185,2,183,0,Yunnan
82601,82601,Zacatecas,Mexico,26/05/2020 02:32,22.7709,-102.5832,243,28,161,54,Zacatecas
82601,82601,Zhejiang,China,26/05/2020 02:32,29.1832,120.0934,1268,1,1267,0,Zhejiang
82601,82601,,Afghanistan,26/05/2020 02:32,33.93911,67.709953,11180,223,1097,9860,Afghanistan
82601,82601,,Albania,26/05/2020 02:32,41.1533,20.1683,1004,32,795,177,Albania
82601,82601,,Algeria,26/05/2020 02:32,28.0339,1.6596,8503,609,4747,3147,Algeria
82601,82601,,Andorra,26/05/2020 02:32,42.5063,1.5218,763,51,663,49,Andorra
82601,82601,,Angola,26/05/2020 02:32,-11.2027,17.8739,70,4,18,48,Angola
82601,82601,,Antigua and Barbuda,26/05/2020 02:32,17.0608,-61.7964,25,3,19,3,Antigua and Barbuda
82601,82601,,Argentina,26/05/2020 02:32,-38.4161,-63.6167,12628,467,3999,8162,Argentina
